Text,Solving a communicative task,Text structure,Use of English (for emails),Overall_score
"Dear Ronny, I was glad to hear from you again. Actually, summer in Russia is quite hot and dry, though it depends on certain region. To be honest, my favourite season is winter because this time is associated with Christmas 37 81 and New Year. If my parents allowed me to visit Australia I would be happy to spend my next summer in this exotic country. Having written about the upcoming visit of your uncle, you made me curios. What is the profession of your uncle? Has he got any hobbies? Is he going to visit some museums or theatres within his staying, or not? Regretfully, I’ve got to finish my letter. Looking forward to hearing from you soon. Best wishes, Denis",1.0,2.0,2.0,5
"Dear Mary, Thanks for your message. It was great to hear from you again! Sorry, I haven’t answered earlier, but I was really busy. I’m glad you are OK! Well, I think that one should cook at home because it’s cheaper than eating out. As for me, I like to cook at home and it makes me happy. Actually, I often cook for my family because they like my dishes. By the way, tell me about your learning Russian. When did you start it? Do you practice it? What’s the name of that book? Actually, I’d go better now because my mother wants me to help me with shopping. Take care and write me soon! Best wishes, Veronika",1.0,2.0,2.0,5
"Moscow
15 october
Hi!
Thanks you for you recent email message.
Firstly, summer is quiet warm here. But some time it rains. The hottest month is July.
Secondly, my favourite season is winter because i enjoy to ski. I can skate too. Every day I go
skating. Finally, in summer i often visit another countries. It's grate to learn new counties and
meet new peoples.
Great news! What's his name? Where is he from? Does he like visiting another countries?
Sorry, must feed my dog.
Hope hear you soon.
See you soon.
Mark.",1.0,0.0,0.0,1
"Hey, Mike.
How's it going? As for me, i'm pretty fine. 
Actually, i'm really glad to hear you again since last time we were chatting.
Well, speaking of devices i personally prefer PCs rather than mobile phones. Usually, i'm playing videogames on it. But i also use it for watching movies with my girlfriend, doing
homework, preparing for exams, etc. You know all this stuff. Mate, to be honest, i do think that mobile phones are essential for teenagers. This is a part of modern culture.This is the
way to be in touch with many people. Summer camp sounds pretty nice. Wanne tell me about your timespan out there? Is it was nice or not? Could you recommend me visit any or better not?
I'll be waiting for your emails.
Best wishes, 
Danil.",0.0,0.0,0.0,0
"Hi Emily,
Thank you for the e-mail. I'm so glad to hear from you again.
Oh, I agree with your friends camping is a really nice way to spend the holidays because it very intresting. Camping is very popular with Russian teenagers because they like active rest more over nature of Russia is very rich that's why teenagers have a lot of places where to go. The best ways of spending holidays with friends are go to the feature or get together in cafe and disuss about something. 
It's so nice that you have enough time to watch TV show. What is the name of this TV show? Is it avaliable to watch online? How long does one episode continue?
That's all. I have to do my homework.
Keep in touch.
Yours,
Arina.",2.0,1.0,0.0,3
"Dear Sammy,
Thank you for your recent letter. It's great to hear from you again after such a long time. Sorry, I haven't answered earlier because I was busy with my school.
Well, in your letter you asked me about healthy lifestyle. Firstly, I want to say about Russian young people lead a healthy lifestyle because they want to keep fit and eat only healthy food. The most popular activities are football, tennis and basketball. Besides, teens like spend free time at the zoos and at the stadiums.
So, I want to ask about your holiday plans. Where will you have a rest? What kind of winter holidays do you like? What do you like do on the winter holidays? 
Sorry, I’ve to go because my Mum called me for shopping.
White back again soon!
With Best wishes,
Mary.",1.0,2.0,0.0,3
"Hello, Philippa!
Thanks for your letter. I'm happy to hear from you.
In your letter you asked me about travelling by air. Actually, it never scares me. I always was more exited about travelling itself, maybe it helps me. But headache is often come after flight, it's the main problem. I know that some people have problems with sleep in plain, but I don't, so flight is pretty easy for me.
If we talk about what I prefer as way of travelling, then it would be train. Yes, there is some minuses. For example, this way of travelling is not as fast as flight, but the view from the window and sound of train's mechanism is very pleasant. Atmosphere can't be compared to anything else.
You said your sister won a competition. How long she prepared for it? What was her work about? Did they give her anything?
That's all for now. Write back soon.
Love,
Lisa",1.0,1.0,0.0,2
"Hi Anna!
I was so glad to hear you again! In your lettast letter you asked me about my language. I will tell you.
I think that some Russian know English well, because many children started study English from the 2nd grade in school. And many students have exam. Speaking about the best way to learn foreign languages, I think, is watch films and listen music on this language because
you need to used to how the language sounds. So, that's all. 
What about you? What do you think about the best way to learn foreign language? Are you going to visit French or Italy on the next summer? Write to me soon!
But now I need to go, Anna.
See you soon!
With love,
Dasha",1.0,1.0,0.0,2
"Dear Alan, 
Thanks for your recent email. I was very glad to hear from you again.
You asked me some questions about mysterious places. Well, there are some interesting places in Russia. For example, the area of Lake Baikal has quite mysterious atmosphere. The mysterious places such as Baikal are so appealing to people because they are interested in something magical and they want to explore it. What about me, I would like to visit some mysterious places because I like everything what is mysterious or even weird.
By the way, I have some questions for you.
Why are you going to join a squash team? Do you need to have special skills to join it? Is it free to join? 
Now I need to go to help my mum. Hope to hear from you soon.
With love,
Kate",2.0,1.0,2.0,5
"Dear Harry,
Thanks for your email, I was happy to get it!
In your letter you've asked me about animal protection. Well, there are lots of endangered animals in Russia, for example Amur tigers. Personally, I think that helping animals is really important because animals are our little friends and we have to protect those who are struggling or in danger.
I believe that the best thing people can do to help endangered animals is to make donations to special organisations which help to protect endangered species.
Anyway, you've mentioned the novel that you've just finished reading. What is the title of the novel? Who is the author of it? What is the novel about?
That's all for now. Drop me a line! 
With love,
Taya
",2.0,2.0,2.0,6
"Dear Harry,
Thank you for your email. I'm glad to hear from you again. 
In your email you asked me some questions. I'd like to answer them. Well, you know, there are a lot of endangered animals in Russia. For example they are bears and different types
of tigers. As for helping animals, I think it is very important because they are people's friends. If you are interested what people can do to help endangered species, I can say that they build special protective places where animals can live.
By the way, I'd like to ask you some questions about the novel. How much does your novel cost? How many pages are there? What is the main character's name?
Unfortunately, I have to go now. Write back soon.
Best wishes,
Varya
",2.0,2.0,2.0,6
"Hi George,
Thank you for your email! It's good to hear from you. Sorry, I wasn't able to write back earlier because I was busy with exams.
Now I can answer your questions I've always wanted to try ecotourism, but sadly it's not popular in Russia. I think it's due to people's indifference towards nature. Ecotourism can offer a lot of opportunities such as seeing wildlife while not harming the forests.
By the way, you've mentioned returning from a youth camp. How long did you stay there? Where is it located? What activities does it offer?
I need to go help my  mom now, so goodbye! I'll be waiting for your reply.
Best wishes,
Katya",2.0,2.0,2.0,6
"Dear Jessica,
Thanks for your e-mail. I'm glad to hear from you again.
In your last message you asked me several questions. To tell the truth, I spend my summer holidays with my family because we always travel together in the summer. To be honest, we usually spend our holidays at home. I think, some people enjoy spending holidays where they live because they want to stay at their homes and spend time with their families.
By the way, I'd like to ask you several questions. How many exams did Tim pass? Where did Tim pass his exams? How many hours did the exams take?
Sorry, I'd better go now as I've got loads of homework to do tonight. 
Keep in touch.
Best wishes,
Kamilla",2.0,2.0,2.0,6
"Hi Jessica!
Thanks for your email. Sorry that I haven't answered for a long time. I was busy with my studying.
In your message you asked me about holidays. Well, I spend my summer holidays with friends. Of course, they are interesting people. Usually I spend my holidays at home because I don't have enough money to travel. By the way, I think that some people enjoy spending holidays where they live since they can meet their friends. Also, It's cheap.
As for your news, were the exams difficult? Does he know the results? How many exams did he pass?
Now it's time to finish my email. I have to help my mother.
Keep in touch.
All the best,
Zlata",2.0,2.0,2.0,6
"Hi George!
Thank you for your email. Sorry that I haven't answered you earlier, because I was preparing for schools exams.
In your letter you asked me some questions about ecotourism. So, personally I don't like ecotourism. In my country it is not so popular because most of people prefer living in comfort in hotels. Ecotourism offer you a closer communication with nature and you can see many beautiful views.
By the way, about your youth camp, how long have you been there? Did you make new friends? Would you go to the youth camp one more time? 
I have to stop now. Write back soon. Let's keep in touch.
Best wishes,
Kristina",2.0,2.0,2.0,6
"Dear Charles,
Thanks a lot for your email. Lovely to hear from you again!
In your last message you asked me about using the Internet. As for me, I use the Internet for studying and reading books. Well, I usually download books and films from the Internet. In my opinion, it is popular with Russian teenagers to have their own blogs or websites because it's a great opportunity to find friends.
By the way, it's great news that you went with your class on a school trip to the capital. How long did your trip last? What did you like the most?
That's all for now. Email me soon.
Best wishes,
Lena",2.0,2.0,2.0,6
"Dear Harry,
I'm glad to get your email! Sorry for not writing so long. I was busy with my homework. 
Thank you for asking such interesting questions! I'll answer them with pleasure. Answering the first question, of course, there are some endangered animals in Russia. The Amursky tiger is known to be one of the most well-known examples. Personally, I consider helping animals highly important because humans are responsible for maintaining lives of other creatures as our intellect is better developed. In my opinion, people can do a number of things to help endangered species. Attracting society's attention by organising some meetings is one of them.
By the way, tell me more about the novel. Who is the author of this novel? What is it about? How many pages are there?
Sorry, I've to go. My parents are calling me.
Write back soon.
Yours,
Dana",2.0,2.0,2.0,6
"Dear Harry,
Thanks a lot for your email. It was great to hear from you again. 
In your email you've asked me about animal protection and I'm happy to answer your questions. As for endangered animals, there are a lot of them in Russia. Nowadays there is a decline in amur tigers’ population. Personally, I think that helping animals is really important because it's our moral duty to protect them from extinction. You know, people can set up more reservation areas and prohibit hunting In order to help endangered species.
By the way, what about your novel? Who is the author of the novel? Does it have illustrations? How many pages are there in the novel?
Sorry, I have to go now. My sister is calling me.
Write back soon.
Best wishes,
Daria",2.0,2.0,2.0,6
